Stachel	Ort	Ortgeber	Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints	lineAngle
7	Plansche Singerstrasse	Meik, Ömer, Erik		DSC03685.JPG	wasserbombenschlacht	2396, 1851, 2338, 1879, 2552, 2310, 2611, 2281	DSC03685.JPG_Blob01.png	-1.1099368	978	-3.5993116
7	Plansche Singerstrasse	Meik, Ömer, Erik		DSC03685.JPG	wenn es heiss ist	1804, 2547, 1780, 2591, 2091, 2765, 2117, 2718	DSC03685.JPG_Blob02.png	-0.5100966	723	-4.2069407
7	Plansche Singerstrasse	Meik, Ömer, Erik		DSC03685.JPG	viele Kinder	2129, 2256, 2084, 2300, 2279, 2501, 2323, 2458	DSC03685.JPG_Blob03.png	-0.8005485	503	-3.9117637
