Stachel	Ort	Ortgeber	Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints	lineAngle
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Kinder haben viel Spaß, man kann sie laufen lassen und sich unterhalten, man muss sich keine Sorgen machen	4937, 2079, 3802, 2695, 3853, 2789, 4989, 2174	DSC03424.JPG_Blob01.png	0.0	2462	1.0792328
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Nachbarn sind nett, aber alleinstehende Nachbarn sind evtl neidisch auf Kinder	3397, 936, 3135, 2231, 3195, 2249, 3461, 953	DSC03424.JPG_Blob04.png	0.0	2727	0.1923956
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Aus dem West-Teil hergezogen	2392, 1742, 2336, 1766, 2576, 2310, 2633, 2284	DSC03424.JPG_Blob08.png	-1.1553042	1200	-3.5591307
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Die Geräte sind noch so neu und unabgenutzt	4170, 1841, 3622, 2481, 3669, 2522, 4220, 1883	DSC03424.JPG_Blob05.png	0.0	1383	0.71432066
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	mit drei Kindern im Alter von eins bis sechs Jahren	1718, 1787, 1669, 1829, 2263, 2520, 2313, 2478	DSC03424.JPG_Blob02.png	-0.8607417	1488	-3.8556833
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Nutzung seit ca 2018, zwei bis dreimal wöchentlich	1244, 2496, 1222, 2553, 2043, 2882, 2067, 2823	DSC03424.JPG_Blob06.png	-0.38113624	1765	-4.3299756
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Wir versuchen, Freunde zum Nachzug zu motivieren	3815, 1473, 3367, 2302, 3422, 2335, 3873, 1504	DSC03424.JPG_Blob03.png	0.0	1781	0.48959807
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Vor einem Jahr zufällig entdeckt	1413, 2890, 1403, 2949, 1996, 3049, 2011, 2991	DSC03424.JPG_Blob10.png	-0.16706228	1322	-4.542177
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Wenn es Schnee gäbe, auch im Winter	1574, 2237, 1540, 2289, 2136, 2678, 2174, 2625	DSC03424.JPG_Blob07.png	-0.5782601	1308	-4.1357493
11	Plansche Weydemeyerstr	Familie Stern		DSC03424.JPG	Zum ersten Mal im Osten wohnend	2735, 1573, 2676, 1583, 2784, 2242, 2847, 2232	DSC03424.JPG_Blob09.png	-1.4083557	1443	-3.3009918
