Stachel	Ort	Ortgeber	Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints	lineAngle	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Nutzung 1964 - 1972, jeden Tag bei schönem Wetter	2655, 1215, 2596, 1226, 2739, 2011, 2803, 1994	DSC00513.JPG_Blob24.png	-7.967.588	1694	-3,3315	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Nutzung seit 2016, zwei bis drei Stunden, bis die Sonne untergeht	3557, 994, 3270, 2018, 3335, 2041, 3621, 1012	DSC00513.JPG_Blob13.png	0.0	2188	0,2764	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Ober- und unterhalb der KMA jeweils eigene Nachbarschaften.	3890, 1065, 3440, 2078, 3499, 2107, 3951, 1093	DSC00513.JPG_Blob10.png	0.0	2153	0,4182	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	DIe Plansche war unser Ort	1820, 1890, 1773, 1934, 2137, 2328, 2184, 2283	DSC00513.JPG_Blob23.png	-47.266.457	899	-3,8914	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Wir spielen Federball, Fußball, Wasserschlachten	3070, 1101, 3006, 1981, 3068, 1992, 3133, 1108	DSC00513.JPG_Blob31.png	0.0	1899	0,0712	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Spielen, Treffen	1466, 2820, 1449, 2880, 1781, 2971, 1798, 2910	DSC00513.JPG_Blob37.png	-15.328.107	794	-4,4512	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Wir gehen nur hin wenn es heiss ist mit der Klasse	3241, 1072, 3099, 1990, 3160, 2003, 3302, 1084	DSC00513.JPG_Blob22.png	0.0	1969	0,1554	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Verabredung oft über Telefon.	1885, 1775, 1834, 1818, 2198, 2266, 2250, 2224	DSC00513.JPG_Blob19.png	-5.090.614	1007	-3,8226	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	viele Kinder	1492, 3029, 1485, 3086, 1758, 3123, 1770, 3070	DSC00513.JPG_Blob40.png	-7.718.333	684	-4,5742	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Wasser ist in 15 Minuten Intervallen an, dann 10 min Pause.	4210, 1193, 3605, 2156, 3656, 2192, 4266, 1228	DSC00513.JPG_Blob07.png	0.0	2044	0,5592	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	Wasser lief ab, blieb aber ca 20 cm hoch stehen.	2918, 1107, 2907, 1973, 2908, 1986, 2980, 1211	DSC00513.JPG_Blob35.png	-8.560.129	1882	0,0189	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	wasserbombenschlacht	1777, 1999, 1731, 2044, 2076, 2382, 2123, 2334	DSC00513.JPG_Blob26.png	-444.128	815	-3,9447	
7	Plansche Singerstrasse		AlleZitate	DSC00513.JPG	wenn es heiss ist	1477, 2733, 1461, 2781, 1799, 2892, 1816, 2843	DSC00513.JPG_Blob36.png	-18.180.302	787	-4,3972	
