mm:ss,pause
new klopf period,10636.0
13:25	,10636.0
13:25	,898.0
13:25	,942.0
13:25	,3239.0
13:25	,723.0
new klopf period,46754.0
13:26	,46754.0
13:26	,1925.0
13:26	,547.0
13:26	,625.0
13:26	,705.0
13:26	,2098.0
13:26	,1780.0
13:26	,1008.0
new klopf period,15820.0
13:27	,15820.0
13:27	,562.0
13:27	,775.0
13:27	,623.0
13:27	,2654.0
13:27	,556.0
13:27	,385.0
13:27	,468.0
13:27	,701.0
13:27	,1011.0
13:27	,776.0
13:27	,576.0
13:27	,542.0
13:27	,543.0
13:27	,1243.0
13:27	,550.0
new klopf period,38073.0
13:27	,38073.0
13:27	,944.0
13:27	,1318.0
13:27	,702.0
new klopf period,7384.0
13:28	,7384.0
13:28	,1112.0
new klopf period,13485.0
13:28	,13485.0
13:28	,921.0
13:28	,1187.0
13:28	,706.0
new klopf period,35038.0
13:28	,35038.0
