mm:ss,pause
new klopf period,6192.0
13:55	,6192.0
13:55	,1677.0
13:55	,1320.0
13:55	,623.0
new klopf period,6308.0
13:55	,6308.0
new klopf period,10172.0
13:55	,10172.0
