mm:ss,pause
new klopf period,11592.0
57:52	,11592.0
new klopf period,1996.0
57:54	,1996.0
new klopf period,1405.0
57:56	,1405.0
new klopf period,1696.0
57:57	,1696.0
new klopf period,595.0
57:58	,595.0
new klopf period,167.0
57:58	,167.0
new klopf period,3005.0
58:1	,3005.0
new klopf period,577.0
58:2	,577.0
new klopf period,1683.0
58:3	,1683.0
new klopf period,2096.0
58:6	,2096.0
